Index,Plate Appearance (season),Date,Hands on Swing,Handedness,Outcome,EV,LA,Air/Ground,Outcome Direction,Pitch Location,Pitch Velo,2 strikes,,,
0,1,4/2/23,1,L,3-Jan,74.3,-13,G,1,1,85,n,,,
1,2,4/2/23,2,L,Foul,75.9,54,,,5,90,n,,,
2,2,4/2/23,2,L,Miss,,,,,3,91,n,,,
3,2,4/2/23,1,L,Single ,105.4,13,,8,6,91,y,,,
4,3,4/2/23,1,L,Single,65.2,0,G,7,13,84,y,,,
5,4,4/2/23,1,L,Miss,,,,,12,87,n,,,
6,4,4/2/23,1,L,Single ,76.4,26,,9,1,94,n,,,
7,5,4/3/23,1,R,Foul,67.5,68,,,2,95,n,,,
8,5,4/3/23,2,R,F8,89.6,23,A,8,5,95,y,,,
9,6,4/4/23,2,R,Miss,,,,,13,82,n,,,
10,6,4/4/23,2,R,Foul,71.1,31,,,7,83,n,,,
11,6,4/4/23,2,R,Foul,85.8,33,,,7,92,y,,,
12,6,4/4/23,2,R,Foul,76.5,37,,,8,92,y,,,
13,6,4/4/23,2,R,F9,96.2,17,A,9,7,83,y,,,
14,7,4/4/23,2,R,Single ,109.1,6,,9,5,93,n,,,
15,8,4/4/23,1,L,Foul,97.6,11,,,12,89,n,,,
16,8,4/4/23,1,L,3-Jun,95.1,-9,G,6,5,91,y,,,
17,9,4/4/23,2,L,Foul,76.6,-20,,,12,88,n,,,
18,9,4/4/23,2,L,F7,96.8,57,A,7,10,93,n,,,
19,10,4/5/23,2,L,Foul,84.3,56,,,6,88,n,,,
20,10,4/5/23,2,L,Foul,85.8,66,,,2,90,n,,,
21,10,4/5/23,1,L,3-Apr,101.6,-1,G,4,5,90,y,,,
22,11,4/5/23,2,L,F8,104.2,31,A,8,7,90,n,,,
23,12,4/5/23,1,L,Foul,81.3,77,,,1,93,n,,,
24,12,4/5/23,1,L,3-Jun,101,0,G,6,3,93,y,,,
25,13,4/5/23,1,L,Double,91.9,15,,7,2,86,n,,,
26,14,4/8/23,2,R,Foul,70.5,29,,,7,92,n,,,
27,14,4/8/23,2,R,Miss,,,,,2,92,n,,,
28,14,4/8/23,2,R,Single ,106.4,14,,7,6,83,y,,,
29,15,4/8/23,2,R,Foul,68.9,39,,,6,85,n,,,
30,15,4/8/23,1,R,K,,,,,3,87,y,,,
31,16,4/8/23,2,R,Foul,91.3,45,,,5,90,n,,,
32,17,4/8/23,2,L,Foul,,,,,5,95,n,,,
33,17,4/8/23,1,L,3U,89.9,-12,G,3,5,86,y,,,
34,18,4/8/23,2,L,K,,,,,11,98,y,,,
35,19,4/10/23,1,L,3-Apr,77.4,-23,G,4,13,94,n,,,
36,20,4/10/23,2,L,Foul,,,,,9,94,n,,,
37,21,4/10/23,2,R,Miss,,,,,5,89,n,,,
38,21,4/10/23,1,R,Foul,,,,,13,87,n,,,
39,21,4/10/23,1,R,3-Jun,52.3,-2,G,6,11,88,y,,,
40,22,4/14/23,1,L,Miss,,,,,12,91,n,,,
41,23,4/14/23,1,L,3-Apr,86.2,7,G,4,6,88,n,,,
42,24,4/14/23,1,L,F8,88.6,35,A,8,6,82,n,,,
43,25,4/14/23,1,L,Miss,,,,,12,82,n,,,
44,25,4/14/23,1,L,Miss,,,,,8,83,n,,,
45,25,4/14/23,2,L,K,,,,,8,83,y,,,
46,26,4/16/23,Check,L,Foul,82.3,15,,,11,90,n,,,
47,26,4/16/23,1,L,1-Mar,81.6,-13,G,3,1,92,y,,,
48,27,4/16/23,1,L,L5,68.5,15,A,5,13,82,y,,,
49,28,4/16/23,2,L,Miss,,,,,11,94,n,,,
50,28,4/16/23,1,L,Foul,76.8,42,,,11,94,n,,,
51,28,4/16/23,2,L,P2,84,83,A,2,10,94,y,,,
52,29,4/17/23,2,R,Miss,,,,,4,91,n,,,
53,29,4/17/23,2,R,Foul,73.4,-18,,,12,92,n,,,
54,29,4/17/23,2,R,Foul,84.6,63,,,4,92,y,,,
55,29,4/17/23,2,R,Foul,72.1,18,,,6,93,y,,,
56,29,4/17/23,Check,R,K,,,,,14,84,y,,,
57,30,4/18/23,2,L,3-Apr,94.2,-2,G,4,6,96,n,,,
58,31,4/18/23,2,L,Double,103.7,24,,8,2,95,n,,,
59,32,4/18/23,1,L,Foul,,,,,13,87,n,,,
60,32,4/18/23,2,L,Foul,69.2,45,,,13,87,y,,,
61,32,4/18/23,1,L,K,,,,,13,87,y,,,
62,33,4/18/23,1,L,Miss,,,,,9,90,n,,,
63,33,4/18/23,2,L,3-May,78.6,-8,G,5,13,91,y,,,
64,34,4/19/23,2,R,Foul,67.4,30,,,5,87,n,,,
65,34,4/19/23,2,R,Double,95,23,,8,5,86,y,,,
66,35,4/19/23,2,R,Foul,73.3,12,,,11,89,n,,,
67,35,4/19/23,2,R,F7,81,41,A,7,13,90,y,,,
68,36,4/19/23,2,R,Miss,,,,,8,84,n,,,
69,36,4/19/23,2,R,F7,94.6,29,A,7,5,89,n,,,
70,37,4/19/23,2,L,Miss,,,,,12,89,n,,,
71,37,4/19/23,2,L,Single,95.6,-1,,6,3,94,n,,,
72,38,4/19/23,2,L,Foul,77.5,26,,,13,96,n,,,
73,38,4/19/23,2,L,3-Jan,81.1,-20,G,1,2,97,y,,,
74,39,4/22/23,1,L,Miss,,,,,5,86,n,,,
75,39,4/22/23,1,L,3U,87,-16,G,3,5,95,y,,,
76,40,4/22/23,1,L,Foul,49.5,-37,,,8,87,n,,,
77,40,4/22/23,1,L,K,,,,,13,86,y,,,
78,41,4/22/23,1,L,K,,,,,12,92,y,,,
79,42,4/23/23,2,R,Miss,,,,,4,94,n,,,
80,43,4/23/23,2,L,Foul,90.1,27,,,9,93,n,,,
81,43,4/23/23,2,L,Miss,,,,,11,87,n,,,
82,43,4/23/23,2,L,P2,78,76,A,2,10,88,y,,,
83,44,4/23/23,2,R,Miss,,,,,12,84,n,,,
84,44,4/23/23,2,R,3-May,88.2,-15,G,5,13,85,n,,,
85,45,4/25/23,2,R,Foul,76.2,40,,,5,93,n,,,
86,45,4/25/23,2,R,Foul,80.5,37,,,4,93,n,,,
87,45,4/25/23,2,R,Foul,88.6,38,,,4,93,y,,,
88,45,4/25/23,2,R,K,,,,,7,88,y,,,
89,46,4/25/23,Check,R,Foul,55.5,,,,12,78,n,,,
90,46,4/25/23,2,R,Foul,60.9,-36,,,5,80,y,,,
91,46,4/25/23,2,R,Single,87.4,9,,9,8,87,y,,,
92,47,4/25/23,2,R,Miss,,,,,14,93,n,,,
93,47,4/25/23,2,R,Foul,72.7,43,,,10,93,y,,,
94,47,4/25/23,2,R,Single ,71.3,23,,7,7,87,y,,,
95,48,4/27/23,2,L,Miss,,,,,3,94,n,,,
96,48,4/27/23,2,L,Foul,76,25,,,6,84,n,,,
97,48,4/27/23,2,L,Double,84.9,-10,,7,5,96,y,,,
98,49,4/28/23,2,L,L8,99.6,18,A,8,5,93,n,,,
99,50,4/28/23,2,L,Foul,79,7,,,4,92,n,,,
100,50,4/28/23,2,L,Foul,,,,,13,88,y,,,
101,50,4/28/23,2,L,3U,98,3,G,3,3,97,y,,,
102,51,4/28/23,2,R,5/4/03,88.8,-32,G,5,7,94,n,,,
103,52,4/28/23,Check,R,Foul,67.2,-40,,,3,95,n,,,
104,52,4/28/23,2,R,Foul,83.6,68,,,1,94,n,,,
105,52,4/28/23,2,R,Single,100.4,8,,7,5,94,y,,,
106,53,4/29/23,1,R,Foul,67,-37,,,5,88,n,,,
107,53,4/29/23,2,R,Miss,,,,,13,88,n,,,
108,53,4/29/23,2,R,F9,88.2,56,A,9,9,88,y,,,
109,54,4/29/23,2,R,Miss,,,,,8,90,n,,,
110,54,4/29/23,2,R,Single,98.4,10,,9,1,90,n,,,
111,55,4/29/23,2,R,Foul,96.6,6,,,5,85,n,,,
112,55,4/29/23,2,R,Foul,84.6,65,,,9,87,n,,,
113,56,4/29/23,1,L,3-Jun,96.4,-8,G,6,11,98,n,,,
114,57,4/30/23,2,L,Foul,108.3,50,,,10,89,n,,,
115,57,4/30/23,1,L,F9,81.2,21,A,9,13,87,n,,,
116,58,4/30/23,2,R,Miss,,,,,1,96,n,,,
117,58,4/30/23,2,R,Miss,,,,,1,96,n,,,
118,58,4/30/23,2,R,Miss,,,,,10,97,y,,,
119,59,4/30/23,1,L,Single,98.7,-6,,8,5,92,n,,,
120,60,5/2/23,2,R,Foul,79.5,46,,,2,92,n,,,
121,60,5/2/23,2,R,Foul,63.3,43,,,6,87,y,,,
122,60,5/2/23,2,R,Foul,26.2,-23,,,14,85,y,,,
123,60,5/2/23,1,R,Foul,71.4,7,,,5,83,y,,,
124,60,5/2/23,2,R,Foul,86.2,7,,,8,93,y,,,
125,60,5/2/23,2,R,Foul,70.1,10,,,6,86,y,,,
126,60,5/2/23,2,R,P6,84.5,63,A,6,1,83,y,,,
127,61,5/2/23,2,R,F7,101,23,A,7,5,82,n,,,
128,62,5/2/23,1,L,Miss,,,,,5,84,n,,,
129,62,5/2/23,2,L,F8,84.6,33,,8,8,83,n,,,
130,63,5/3/23,Check,L,Miss,,,,,12,84,n,,,
131,63,5/3/23,2,L,Miss,,,,,7,85,n,,,
132,63,5/3/23,1,L,Foul,,,,,8,87,y,,,
133,63,5/3/23,1,L,Foul,81.9,-9,,,12,86,y,,,
134,63,5/3/23,1,L,Foul,75.9,-31,,,7,84,y,,,
135,64,5/3/23,1,L,HR,103.5,32,,8,7,84,n,,,
136,65,5/3/23,2,L,3-Jun,102.5,-4,G,6,9,87,n,,,
137,66,5/3/23,2,L,Miss,,,,,1,95,n,,,
138,66,5/3/23,2,L,Foul,73.3,64,,,5,87,n,,,
139,66,5/3/23,1,L,K,,,,,3,96,y,,,
140,67,5/4/23,2,L,3-Apr,93.6,0,G,4,5,82,n,,,
141,68,5/4/23,1,L,Miss,,,,,12,91,n,,,
142,69,5/4/23,2,R,Miss,,,,,4,90,n,,,
143,69,5/4/23,2,R,Foul,69.8,72,,,2,91,n,,,
144,70,5/4/23,2,R,F8,90.3,41,A,8,13,84,y,,,
145,71,5/5/23,2,R,Foul,87,22,,,3,89,n,,,
146,71,5/5/23,2,R,F8,91.9,45,A,8,5,78,y,,,
147,72,5/5/23,2,R,3-Apr,91.3,-7,G,4,10,79,n,,,
148,73,5/5/23,2,R,Foul,73,12,,,11,91,n,,,
149,73,5/5/23,2,R,Single,95.2,10,,8,7,81,n,,,
150,74,5/5/23,2,L,Foul,74.4,39,,,5,96,n,,,
151,74,5/5/23,1,L,3-Apr,73.6,8,G,4,13,90,y,,,
152,75,5/5/23,1,L,Miss,,,,,13,89,n,,,
153,75,5/5/23,1,L,K,,,,,14,87,y,,,
154,76,5/6/23,2,L,Foul,87.3,-9,,,12,77,n,,,
155,76,5/6/23,1,L,Miss,,,,,14,85,n,,,
156,76,5/6/23,2,L,HR,101.3,30,,9,7,85,y,,,
157,77,5/6/23,1,L,Foul,69.2,26,,,1,92,n,,,
158,77,5/6/23,2,L,Foul,74.2,50,,,5,93,n,,,
159,77,5/6/23,1,L,Foul,62.7,47,,,4,94,y,,,
160,77,5/6/23,2,L,3-Apr,92.5,0,G,4,5,94,y,,,
161,78,5/6/23,2,R,Foul,80.9,69,,,1,89,n,,,
162,78,5/6/23,2,R,F8,97.5,26,A,8,8,81,n,,,
163,79,5/6/23,1,R,F9,80.5,32,A,9,2,91,n,,,
164,80,5/7/23,2,L,Foul,67,35,,,1,94,n,,,
165,80,5/7/23,2,L,Miss,,,,,3,93,n,,,
166,80,5/7/23,2,L,3-Jun,103.2,0,G,6,11,94,y,,,
167,81,5/7/23,1,L,Miss,,,,,12,83,n,,,
168,81,5/7/23,1,L,F7,97,29,A,7,11,93,n,,,
169,82,5/7/23,1,L,Miss,,,,,13,87,n,,,
170,82,5/7/23,2,L,Single ,100.3,1,,9,6,84,n,,,
171,83,5/7/23,2,R,L5,93.7,9,A,5,5,83,n,,,
172,84,5/8/23,2,L,Single,99.5,11,,7,8,92,n,,,
173,85,5/8/23,1,L,Foul,60.6,-40,,,9,87,y,,,
174,85,5/8/23,1,L,F7,82.8,46,A,7,1,92,y,,,
175,86,5/8/23,2,L,Foul,77.9,31,,,2,90,y,,,
176,86,5/8/23,Check,L,K,,,,,14,81,y,,,
177,87,5/8/23,2,L,Foul,84.9,8,,,5,97,n,,,
178,87,5/8/23,2,L,Foul,76.5,52,,,1,97,y,,,
179,88,5/9/23,1,L,Foul,83.4,11,,,10,91,n,,,
180,88,5/9/23,1,L,Miss,,,,,1,94,n,,,
181,89,5/9/23,2,L,Foul,79,12,,,5,98,n,,,
182,89,5/9/23,1,L,3U,91.7,-1,G,3,5,88,n,,,
183,90,5/9/23,Bunt,L,3-Jan,,,G,1,4,88,n,,,
184,91,5/9/23,1,L,Foul,59.1,37,,,1,90,n,,,
185,91,5/9/23,2,L,Triple,102.2,26,,8,7,85,n,,,
186,92,5/10/23,1,R,1-Mar,71.5,-12,G,3,6,93,n,,,
187,93,5/10/23,2,R,3-Jun,91.7,-34,G,6,8,92,n,,,
188,94,5/10/23,2,R,F9,86.2,59,A,9,13,83,n,,,
189,95,5/10/23,2,L,Foul,85.2,37,,,8,92,n,,,
190,95,5/10/23,2,L,3-Jun,68,8,G,6,9,81,n,,,
191,96,5/12/23,2,R,Miss,,,,,8,95,n,,,
192,96,5/12/23,2,R,Foul,78.6,25,,,5,96,y,,,
193,96,5/12/23,2,R,F9,91,24,A,9,10,82,y,,,
194,97,5/12/23,Check,R,Miss,,,,,12,95,n,,,
195,97,5/12/23,1,R,Foul,50.2,-30,,,14,85,y,,,
196,97,5/12/23,2,R,Foul,68.7,52,,,2,97,y,,,
197,98,5/12/23,2,L,Foul,87,51,,,5,94,y,,,
198,98,5/12/23,2,L,Single,98.4,4,,9,7,88,y,,,
199,99,5/12/23,2,R,Foul,73.9,-27,,,5,77,n,,,
200,99,5/12/23,2,R,3-Jun,104.4,-11,G,6,9,93,y,,,
201,100,5/13/23,1,R,Foul,74.4,36,,,12,94,n,,,
202,100,5/13/23,2,R,Foul,69.1,61,,,3,96,y,,,
203,100,5/13/23,1,R,Foul,75,-22,,,13,82,y,,,
204,100,5/13/23,2,R,Foul,71.1,35,,,5,95,y,,,
205,100,5/13/23,1,R,Foul,74.7,-21,,,3,96,y,,,
206,101,5/13/23,2,R,Miss,,,,,1,94,n,,,
207,101,5/13/23,2,R,Miss,,,,,7,79,n,,,
208,101,5/13/23,1,R,K,,,,,14,80,y,,,
209,102,5/13/23,2,R,Miss,,,,,2,95,n,,,
210,102,5/13/23,2,R,Foul,70.6,25,,,8,96,n,,,
211,102,5/13/23,2,R,Foul,40.1,-28,,,12,80,y,,,
212,102,5/13/23,1,R,K,,,,,12,96,y,,,
213,103,5/14/23,1,L,Miss,,,,,7,80,n,,,
214,103,5/14/23,1,L,Foul,,,,,4,87,y,,,
215,103,5/14/23,1,L,Foul,84.8,-5,,,12,80,y,,,
216,103,5/14/23,2,L,Foul,75.2,7,,,12,89,y,,,
217,103,5/14/23,1,L,Single,98.1,0,,9,5,86,y,,,
218,104,6/9/23,1,L,3-Apr,79.5,-19,G,4,1,90,n,,,
219,105,6/9/23,1,L,Foul,106.9,38,,,10,90,n,,,
220,105,6/9/23,1,L,Foul,91.9,19,,,12,90,n,,,
221,106,6/9/23,1,L,Foul,74.9,-20,,,5,86,n,,,
222,106,6/9/23,1,L,F9,92.6,22,A,9,1,90,n,,,
223,107,6/10/23,2,R,Single,104.4,-1,,8,8,93,y,,,
224,108,6/10/23,2,R,Foul,91.3,50,,,8,93,n,,,
225,108,6/10/23,2,R,Miss,,,,,1,86,n,,,
226,108,6/10/23,2,R,Single,103.2,12,,8,7,81,y,,,
227,109,6/10/23,2,L,HR,104.8,38,,9,4,92,n,,,
228,110,6/11/23,Bunt,L,Foul,57.6,58,,,10,99,n,,,
229,110,6/11/23,2,L,Double,100.1,22,,,7,99,y,,,
230,111,6/11/23,2,L,Foul,,,,,3,99,y,,,
231,111,6/11/23,Check,L,K,,,,,13,89,y,,,
232,112,6/11/23,2,L,Miss,,,,,7,83,n,,,
233,112,6/11/23,2,L,P6,90.6,77,A,6,2,95,n,,,
234,113,6/12/23,2,L,3U,101.6,5,G,3,5,91,n,,,
235,114,6/12/23,1,L,Miss,,,,,12,86,n,,,
236,115,6/12/23,1,L,3U,84.4,-13,G,3,8,92,n,,,
237,116,6/12/23,2,L,F8,95.8,29,A,8,5,102,y,,,
238,117,6/13/23,1,L,3-Apr,84.7,-15,G,4,13,88,n,,,
239,118,6/13/23,2,L,Foul,76.8,71,,,2,94,n,,,
240,118,6/13/23,1,L,3-Jan,93.9,-13,G,1,9,89,n,,,
241,119,6/13/23,1,L,Foul,68.7,44,,,13,96,n,,,
